ingredients_id,ingredients,allergens_id,アレルゲン品目(AI＋目視)
1,米,,ー
2,卵,6,卵
3,バター,7,乳
4,牛乳,7,乳
5,小麦,4,小麦
6,チーズ,7,乳
7,カレールー,"4,7",小麦・乳 ※製品による
8,大豆,20,大豆
9,鶏肉,21,鶏肉
10,豚肉,23,豚肉
11,醤油,"4,20",小麦・大豆
12,しらす,"1,2",ー ※えび・かに混入の可能性
13,ごま油,17,ごま
14,食パン,"4,7,6",小麦・乳・卵 ※製品による
15,ケチャップ,,ー
16,塩,,ー
17,水,,ー
18,小麦麺,4,小麦
19,卵麺,4.6,小麦・卵
20,ソース,,ー ※製品による
21,そば,5,そば
22,小麦皮,4,小麦
23,パスタ,4,小麦
24,合挽き肉,"16,21,23",牛肉・豚肉※念のため鶏肉も
25,マカロニ,4,小麦
26,あさり,,ー
27,にんにく,,ー
28,キャベツ,,ー
29,たこ,,ー
30,ナッツ,"3,8,9",落花生・くるみ等 ※種類による
31,パン粉,4,小麦
32,白身魚,,ー
33,じゃがいも,,ー
34,マヨネーズ,"4,20",卵・大豆
35,だし,,ー ※製品による
36,豆腐,20,大豆
37,牛肉,16,牛肉
38,鮭,18,さけ
39,コーン,#N/A,ー
40,コンソメ,#N/A,小麦・乳・大豆・鶏肉 ※製品による
41,味噌,20,大豆
42,魚,"18,19",さけ、さばをいれました
43,えび,1,えび
44,野菜ペースト,,ー
45,乳,7,乳
46,湯,,ー
47,ゼラチン,28,ゼラチン
48,いちご,,ー
49,さつまいも,,ー
50,鯛,,ー
51,鱈,,ー
52,バナナ,22,バナナ
53,オートミール,,ー
54,きゅうり,,ー
55,かぼちゃ,,ー
56,トマト,,ー
57,人参,,ー
58,お麩,4,小麦
59,小松菜,,ー
60,玉ねぎ,,ー
61,豆乳,20,大豆
62,大根,,ー
63,オレンジ,13,オレンジ
64,のり,,ー
65,野菜,,ー
66,ブロッコリー,,ー
67,れんこん,,ー
68,ピーマン,,ー
69,白菜,,ー
70,きな粉,20,大豆
71,ベーキングパウダー,,ー
72,パセリ,,ー
73,茄子,,ー
74,片栗粉,,ー
75,砂糖,,ー
76,シーチキン,20,大豆 ※製品による
77,薄力粉,4,小麦
78,重曹,,ー
79,サラダ油,20,ー ※大豆油の場合あり
80,オリーブオイル,,ー
81,ホワイトソース,"4,7",小麦・乳
82,お酢,,ー
83,りんご,27,りんご
84,米粉,,ー
85,メープルシロップ,,ー
86,枝豆,20,大豆
87,みりん,,ー
88,ひじき,,ー
89,うどん,4,小麦
90,ごま,17,ごま
91,かつお節,,ー
92,めんつゆ,"4,20",小麦・大豆 ※製品による
93,オクラ,,ー
94,納豆,20,大豆
95,ハマチ,,ー
96,料理酒,,ー
97,しめじ,,ー
98,餃子の皮,4,小麦
99,ニラ,,ー
100,椎茸,,ー
101,マーガリン,"7,20",乳・大豆 ※製品による
102,ほうれん草,,ー
103,油,,ー
104,生姜,,ー
105,シュウマイの皮,4,小麦
106,長芋,26,やまいも
107,米油,,ー
108,エリンギ,,ー
109,ごぼう,,ー
110,ネギ,,ー
111,白滝,,ー
112,えのき,,ー
113,ヨーグルト,7,乳
114,おから,20,大豆
115,油揚げ,20,大豆
116,セロリ,,ー
117,こしょう,,ー
118,ポトフの残り,,※内容による
119,かに,2,かに
120,くるみ,3,くるみ
121,落花生,8,落花生
122,アーモンド,9,アーモンド
123,あわび,10,あわび
124,いか,11,いか
125,いくら,12,いくら
126,カシューナッツ,14,カシューナッツ
127,キウイ,15,キウイ
128,マカダミアナッツ,24,マカダミアナッツ
129,もも,25,もも
130,やまいも,26,やまいも
