id,category,basic_recipe,basic_ingredients,,,,,,,
1,ごはん,オムライス,"1,2,3",,,,,,,
2,ごはん,ドリア,"1,4,5,6",,,,,,,
3,ごはん,カレーライス（市販ルー）,"1,4,5,7,8",,,,,,,
4,ごはん,親子丼,"1,11,2,9",,,,,,,
5,ごはん,しらすチャーハン,"1,12,13,2",,,,,,,
6,パン,食パン,"3,4,5",,,,,,,
7,パン,ロールパン,"2,4,5",,,,,,,
8,パン,ホットケーキ,"2,4,5",,,,,,,
9,パン,フレンチトースト,"14,2,4",,,,,,,
10,パン,ピザトースト,"14,15,6",,,,,,,
11,麺,うどん,"16,17,5",,,,,,,
12,麺,ラーメン,"11,18,19",,,,,,,
13,麺,焼きそば,"18,20,8",,,,,,,
14,麺,そば,21,,,,,,,
15,麺,ワンタン麺,"10,11,22",,,,,,,
16,パスタ,カルボナーラ,"2,23,4,6",,,,,,,
17,パスタ,ミートソース,"23,24,5",,,,,,,
18,パスタ,マカロニグラタン,"25,4,5",,,,,,,
19,パスタ,クリームパスタ,"23,3,4",,,,,,,
20,パスタ,ボンゴレ,"23,26,27",,,,,,,
21,粉もの,お好み焼き,"10,2,28,5",,,,,,,
22,粉もの,たこ焼き,"2,29,5",,,,,,,
23,粉もの,クレープ,"2,4,5",,,,,,,
24,粉もの,ドーナツ,"2,4,5",,,,,,,
25,粉もの,ナッツ入りクッキー,"2,30,4,5",,,,,,,
26,おかず,ハンバーグ,"2,24,31,4",,,,,,,
27,おかず,ミートボール,"2,24,31",,,,,,,
28,おかず,鶏つくね,"2,31,9",,,,,,,
29,おかず,白身魚のムニエル,"3,32,5",,,,,,,
30,おかず,ポテトサラダ,"2,33,34",,,,,,,
31,おかず,茶碗蒸し,"2,35,9",,,,,,,
32,おかず,豆腐グラタン,"36,4,6",,,,,,,
33,おかず,肉じゃが,"11,37,8",,,,,,,
34,おかず,親子煮,"11,2,9",,,,,,,
35,おかず,鮭のクリーム煮,"3,38,4",,,,,,,
36,汁物・スープ,コーンポタージュ,"3,39,4",,,,,,,
37,汁物・スープ,クリームシチュー,"3,4,5",,,,,,,
38,汁物・スープ,クラムチャウダー,"26,4,5",,,,,,,
39,汁物・スープ,卵スープ,"2,40",,,,,,,
40,汁物・スープ,ワンタンスープ,"10,22",,,,,,,
41,汁物・スープ,ビーフシチュー,"3,37,5",,,,,,,
42,汁物・スープ,かきたま汁,"2,35",,,,,,,
43,汁物・スープ,味噌汁,"36,41,8",,,,,,,
44,汁物・スープ,中華スープ,"11,13,8",,,,,,,
45,汁物・スープ,海鮮スープ,"42,43",,,,,,,
